category,n_exemplars,k,effective_k,mean_knn_dist,std_knn_dist,median_knn_dist,mean_bv_to_bv_centroid,n_bv,local_rank,global_rank,rank_shift_local_minus_global,embedding
napkin,264,5,5,9.800919312148372,3.41823654567302,9.1032541530726,4.772438912166485,35562,70.0,60.0,10.0,clip
hair,255,5,5,9.8207954133458,3.7035400681084334,8.812853450398745,4.639533258820302,7310,69.0,62.0,7.0,clip
towel,261,5,5,9.858602447276148,3.10200717749229,8.97059347674927,5.012807901861499,33272,68.0,40.0,28.0,clip
bottle,264,5,5,10.064690965328223,3.0743392780911387,9.140231979557324,4.90627218447084,60304,67.0,51.0,16.0,clip
box,265,5,5,10.173176178653527,3.980883613653528,9.054021488313063,5.29715483052813,66750,66.0,9.0,57.0,clip
book,258,5,5,10.493944391528558,4.407357903225891,9.087303697221008,5.809208427431596,44652,65.0,1.0,64.0,clip
pants,244,5,5,10.80414034852537,4.281296034880439,9.607888635109727,4.479418979431483,5664,64.0,70.0,-6.0,clip
bowl,262,5,5,10.85053448419962,3.2221881727992145,10.02054019663404,5.064461086980083,84340,63.0,34.0,29.0,clip
hat,262,5,5,10.877483430864686,3.6359491742297374,10.0391730812876,5.197458096748787,15166,62.0,18.0,44.0,clip
ball,260,5,5,10.97405605335491,3.824103201909656,9.825115010568606,5.066422153716865,31235,61.0,33.0,28.0,clip
oven,246,5,5,10.997629986072337,4.677050938025388,9.819862088650911,4.8932789436346695,28153,60.0,52.0,8.0,clip
sink,246,5,5,11.092756765353547,4.003367230498983,10.343329638878574,5.037385075478944,34414,59.0,36.0,23.0,clip
blanket,260,5,5,11.112084365752066,4.175368802733114,10.261040749449162,5.167913575292588,28388,58.0,23.0,35.0,clip
bucket,262,5,5,11.2046675375527,3.6578978466359535,10.268126833048452,5.260698430449339,38435,57.0,12.0,45.0,clip
shirt,253,5,5,11.532458966832635,4.107157723463037,10.429835460848524,5.270793955325513,9402,56.0,11.0,45.0,clip
apple,246,5,5,11.644456558758264,3.682202067065983,10.677466833262375,4.215856952790929,11674,55.0,76.0,-21.0,clip
drawer,246,5,5,11.68516671390247,4.573750475235342,10.506584795666782,4.3313339643607245,20456,54.0,72.0,-18.0,clip
balloon,256,5,5,11.903065570222685,3.704255840782808,11.198364372795734,4.91221779110047,24663,53.0,50.0,3.0,clip
plate,263,5,5,12.008941353575349,4.258289601011373,11.15909236612097,5.324748167011273,73202,52.0,8.0,44.0,clip
arm,247,5,5,12.887290690187267,5.5926212939962765,10.966030083251608,4.92588494730372,3084,51.0,49.0,2.0,clip
paper,251,5,5,13.228687019688213,4.77696666981326,11.873909826645894,5.184048609169087,5505,50.0,19.0,31.0,clip
cat,220,5,5,13.495340897691776,4.877910740380692,12.215074625911626,4.803586708098057,3609,49.0,57.0,-8.0,clip
jeans,213,5,5,13.575431901767216,5.381393780112197,12.358081265674794,4.774103321487511,4220,48.0,59.0,-11.0,clip
can,245,5,5,13.61691434303356,4.583530340340539,12.736370891996357,4.6253506123015695,4817,47.0,63.0,-16.0,clip
nose,196,5,5,13.677094469320974,4.193428521904957,12.362824663478024,3.839588236900745,859,46.0,80.0,-34.0,clip
plant,228,5,5,13.722034946190565,4.909104715919627,12.826651616706638,4.775659835207683,30220,45.0,58.0,-13.0,clip
shorts,195,5,5,13.750576399535795,5.17394089887949,12.296303003545242,4.578842766292037,3792,44.0,65.0,-21.0,clip
basket,252,5,5,13.828144534571972,4.006100471197792,12.86818438344725,5.337952438464331,29745,43.0,7.0,36.0,clip
fork,216,5,5,14.08242512207468,4.858146803225872,13.054029426451883,4.743382020782864,7869,42.0,61.0,-19.0,clip
shoe,240,5,5,14.179860087353852,5.000701694002973,12.808548337469798,4.956720442026335,8408,41.0,47.0,-6.0,clip
bench,231,5,5,14.227459442551195,4.540238214476114,13.227194384415949,5.172541089980941,7074,40.0,22.0,18.0,clip
watch,136,5,5,14.632693853239156,7.123070737517957,11.862294279757812,4.3062310866292925,3070,39.0,73.0,-34.0,clip
purse,248,5,5,14.641729011767142,4.83275862661854,13.454265002304234,5.173184413640832,10269,38.0,20.0,18.0,clip
dog,224,5,5,14.893906045556935,5.498672027044645,13.472983855529105,5.01161680243878,4205,37.0,41.0,-4.0,clip
clock,194,5,5,14.917633431878931,6.255990326143615,14.134703763374414,4.4887153630485255,10895,36.0,69.0,-33.0,clip
ear,125,5,5,15.12140808341456,3.286098290098,14.792124947120612,3.744428195724242,298,35.0,81.0,-46.0,clip
tooth,137,5,5,15.176663716363386,4.784164938434268,14.768817435591256,3.621363897328601,410,34.0,84.0,-50.0,clip
crib,233,5,5,15.33119591442932,5.52193388490834,14.21703332026129,5.13902300028389,7976,33.0,26.0,7.0,clip
mouth,122,5,5,15.70635099209604,5.192152434755132,14.493254374153212,3.641164412405834,318,32.0,83.0,-51.0,clip
