subject_id,category,stratum,cdi_domain,age_from,age_to,age_midpoint,centroid_displacement,dispersion_from,dispersion_to,dispersion_delta,n_crops_from,n_crops_to
00400002,cup,living_room,household,22,23,22.5,0.2580095914374694,0.411283053283547,0.41211235480310404,0.0008293015195570685,42,25
00400002,cup,living_room,household,23,24,23.5,0.3842850174698651,0.41211235480310404,0.2458510589687414,-0.16626129583436264,25,27
00400002,cup,playing,household,13,14,13.5,0.31061619804552476,0.4517507351318807,0.45236106045233015,0.0006103253204494674,16,61
00400002,cup,playing,household,14,15,14.5,0.18361961724785725,0.45236106045233015,0.4417435889700584,-0.010617471482271768,61,107
00400002,cup,playing,household,15,16,15.5,0.16330926379857913,0.4417435889700584,0.3880839302199968,-0.05365965875006157,107,38
00400002,cup,playing,household,16,17,16.5,0.21957274935704185,0.3880839302199968,0.47742405312602115,0.08934012290602433,38,86
00400002,cup,playing,household,17,18,17.5,0.16020433847390902,0.47742405312602115,0.47547049226028965,-0.0019535608657315073,86,35
00400002,cup,playing,household,18,19,18.5,0.1803819999557541,0.47547049226028965,0.4411408045100714,-0.03432968775021822,35,80
00400002,cup,playing,household,19,20,19.5,0.1639619552154583,0.4411408045100714,0.456097665597997,0.0149568610879256,80,77
00400002,cup,playing,household,20,21,20.5,0.15033171407091706,0.456097665597997,0.42983400360704993,-0.026263661990947096,77,180
00400002,cup,playing,household,21,22,21.5,0.20630338206079546,0.42983400360704993,0.44394535320491296,0.014111349597863032,180,42
00400002,cup,playing,household,22,23,22.5,0.19746672263534015,0.44394535320491296,0.44621590452293625,0.002270551318023284,42,45
00400002,cup,playing,household,23,24,23.5,0.5622473013140626,0.44621590452293625,0.23097373101232374,-0.2152421735106125,45,61
00400002,plate,all,household,13,14,13.5,0.24907191528442352,0.37541295086648735,0.43268064922519944,0.057267698358712094,126,256
00400002,plate,all,household,14,15,14.5,0.12792730183451406,0.43268064922519944,0.36858403132569506,-0.06409661789950438,256,256
00400002,plate,all,household,15,16,15.5,0.325031624011894,0.36858403132569506,0.31442298100596316,-0.054161050319731896,256,256
00400002,plate,all,household,16,17,16.5,0.3997051330577308,0.31442298100596316,0.4993799428100829,0.18495696180411975,256,154
00400002,plate,all,household,17,18,17.5,0.3115113720116949,0.4993799428100829,0.36647725143768395,-0.13290269137239896,154,256
00400002,plate,all,household,18,19,18.5,0.3137331290364649,0.36647725143768395,0.4516746687428454,0.08519741730516145,256,97
00400002,plate,all,household,19,20,19.5,0.31967075026216896,0.4516746687428454,0.48511609097246294,0.033441422229617546,97,88
00400002,plate,all,household,20,21,20.5,0.31036945300154484,0.48511609097246294,0.3929755123967331,-0.09214057857572983,88,256
00400002,plate,all,household,21,22,21.5,0.18587286302493777,0.3929755123967331,0.2627141692571241,-0.13026134313960902,256,256
00400002,plate,all,household,22,23,22.5,0.12326135356724621,0.2627141692571241,0.35196783669351545,0.08925366743639135,256,256
00400002,plate,all,household,23,24,23.5,0.42007972318660547,0.35196783669351545,0.282582698647045,-0.06938513804647045,256,159
00400002,plate,eating,household,13,14,13.5,0.28549938507829786,0.25967026485053035,0.3887250501512779,0.12905478530074754,97,256
00400002,plate,eating,household,14,15,14.5,0.15312375216994512,0.3887250501512779,0.30620924848181064,-0.08251580166946726,256,213
00400002,plate,eating,household,15,16,15.5,0.36357706400920464,0.30620924848181064,0.3068739142895536,0.0006646658077429368,213,256
00400002,plate,eating,household,16,17,16.5,0.5585927291692834,0.3068739142895536,0.28456699310389527,-0.0223069211856583,256,51
00400002,plate,eating,household,17,18,17.5,0.3688757660544658,0.28456699310389527,0.3506097204072416,0.06604272730334632,51,256
00400002,plate,eating,household,18,19,18.5,0.3848299642915125,0.3506097204072416,0.2500610889324925,-0.10054863147474907,256,49
00400002,plate,eating,household,21,22,21.5,0.1971008807442427,0.3449624464372963,0.25603008473135014,-0.08893236170594615,256,256
00400002,plate,eating,household,22,23,22.5,0.24756342241703766,0.25603008473135014,0.27487775570899303,0.018847670977642894,256,256
00400002,plate,eating,household,23,24,23.5,0.43555315801264505,0.27487775570899303,0.22137200691590855,-0.05350574879308448,256,141
00400002,plate,kitchen_like,household,13,14,13.5,0.2817388630534995,0.28828877635471134,0.4285828469160068,0.14029407056129545,104,256
00400002,plate,kitchen_like,household,14,15,14.5,0.13737658112447715,0.4285828469160068,0.33596741657173146,-0.09261543034427533,256,235
00400002,plate,kitchen_like,household,15,16,15.5,0.3260798363960886,0.33596741657173146,0.3365040898628032,0.0005366732910717653,235,256
